Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0730           5.0378      -3.3617       8.3995  1203.4
0.0740           4.9979      -3.0803       8.0782  1157.3
0.0750           4.9922      -2.8485       7.8407  1123.3
0.0760           5.0252      -2.6667       7.6920  1102.0
0.0770           4.9927      -2.5326       7.5253  1078.1
0.0780           4.9183      -2.4422       7.3605  1054.5
0.0790           4.8757      -2.3884       7.2641  1040.7
0.0800           4.8948      -2.3620       7.2568  1039.7
0.0810           4.8604      -2.3549       7.2152  1033.7
0.0820           4.8587      -2.3626       7.2213  1034.6
0.0830           4.8364      -2.3801       7.2165  1033.9
0.0840           4.7884      -2.4055       7.1940  1030.6
0.0850           4.8107      -2.4364       7.2471  1038.3
0.0860           4.7563      -2.4689       7.2253  1035.1
0.0870           4.7064      -2.4993       7.2057  1032.3
0.0880           4.6534      -2.5239       7.1774  1028.3
0.0890           4.6577      -2.5393       7.1970  1031.1
0.0900           4.6402      -2.5452       7.1854  1029.4
0.0910           4.6133      -2.5439       7.1573  1025.4
0.0920           4.5739      -2.5382       7.1121  1018.9
0.0930           4.5861      -2.5325       7.1186  1019.9
0.0940           4.5987      -2.5323       7.1310  1021.6
0.0950           4.5737      -2.5428       7.1165  1019.6
0.0960           4.5667      -2.5706       7.1374  1022.5
0.0970           4.5551      -2.6239       7.1790  1028.5
0.0980           4.5285      -2.7037       7.2321  1036.1
0.0990           4.5031      -2.8072       7.3103  1047.3
0.1000           4.4710      -2.9243       7.3954  1059.5
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.6988       5.6988       0.0000     0.0
0.0010           5.7021       5.6988       0.0033     0.5
0.0020           5.7071       5.6987       0.0084     1.2
0.0030           5.7093       5.6986       0.0107     1.5
0.0040           5.7128       5.6983       0.0145     2.1
0.0050           5.7186       5.6979       0.0207     3.0
0.0060           5.7220       5.6972       0.0247     3.5
0.0070           5.7241       5.6962       0.0279     4.0
0.0080           5.7269       5.6947       0.0322     4.6
0.0090           5.7327       5.6926       0.0401     5.7
0.0100           5.7396       5.6897       0.0498     7.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.6988       5.6988       0.0000     0.0
0.0010           5.7031       5.6988       0.0043     0.6
0.0020           5.7079       5.6987       0.0092     1.3
0.0030           5.7136       5.6986       0.0150     2.1
0.0040           5.7189       5.6985       0.0204     2.9
0.0050           5.7231       5.6982       0.0249     3.6
0.0060           5.7284       5.6978       0.0307     4.4
0.0070           5.7303       5.6971       0.0332     4.8
0.0080           5.7335       5.6963       0.0373     5.3
0.0090           5.7385       5.6952       0.0432     6.2
0.0100           5.7459       5.6938       0.0521     7.5
0.0110           5.7502       5.6918       0.0585     8.4
0.0120           5.7522       5.6892       0.0629     9.0
0.0130           5.7526       5.6862       0.0664     9.5
0.0140           5.7557       5.6822       0.0735    10.5
0.0150           5.7598       5.6768       0.0830    11.9
0.0160           5.7648       5.6697       0.0951    13.6
0.0170           5.7682       5.6606       0.1076    15.4
0.0180           5.7833       5.6483       0.1350    19.3
0.0190           5.7869       5.6323       0.1546    22.1
0.0200           5.7928       5.6118       0.1810    25.9
0.0210           5.7919       5.5858       0.2061    29.5
0.0220           5.8014       5.5528       0.2486    35.6
0.0230           5.8007       5.5107       0.2900    41.5
0.0240           5.8006       5.4574       0.3432    49.2
0.0250           5.7839       5.3921       0.3918    56.1
0.0260           5.7967       5.3105       0.4862    69.7
0.0270           5.7940       5.2079       0.5861    84.0
0.0280           5.8047       5.0799       0.7248   103.8
0.0290           5.7919       4.9223       0.8696   124.6
0.0300           5.7911       4.7308       1.0602   151.9
0.0310           5.7948       4.4989       1.2959   185.7
0.0320           5.7897       4.2191       1.5706   225.0
0.0330           5.7946       3.8868       1.9079   273.3
0.0340           5.7865       3.4962       2.2903   328.1
0.0350           5.7769       3.0457       2.7312   391.3
0.0360           5.7835       2.5335       3.2500   465.6
0.0370           5.8100       1.9588       3.8512   551.7
0.0380           5.7714       1.3286       4.4429   636.5
0.0390           5.7385       0.6540       5.0845   728.4
0.0400           5.6992      -0.0539       5.7531   824.2
0.0410           5.6919      -0.7812       6.4731   927.4
0.0420           5.7345      -1.5119       7.2464  1038.2
0.0430           5.6619      -2.2255       7.8874  1130.0
0.0440           5.5847      -2.9002       8.4850  1215.6
0.0450           5.5600      -3.5186       9.0787  1300.7
0.0460           5.6191      -4.0665       9.6856  1387.6
0.0470           5.5775      -4.5324      10.1099  1448.4
0.0480           5.5318      -4.9087      10.4405  1495.8
0.0490           5.5304      -5.1960      10.7265  1536.7
0.0500           5.5838      -5.3988      10.9826  1573.4
0.0510           5.5565      -5.5261      11.0826  1587.7
0.0520           5.5823      -5.5911      11.1734  1600.8
0.0530           5.6197      -5.6075      11.2272  1608.5
0.0540           5.6075      -5.5879      11.1953  1603.9
0.0550           5.6198      -5.5429      11.1627  1599.2
0.0560           5.5369      -5.4798      11.0167  1578.3
0.0570           5.5295      -5.4073      10.9368  1566.9
0.0580           5.5405      -5.3326      10.8730  1557.7
0.0590           5.5240      -5.2611      10.7851  1545.1
0.0600           5.5208      -5.1992      10.7200  1535.8
0.0610           5.4225      -5.1455      10.5680  1514.0
0.0620           5.3716      -5.0999      10.4714  1500.2
0.0630           5.3240      -5.0591      10.3831  1487.5
0.0640           5.3138      -5.0144      10.3282  1479.7
0.0650           5.3027      -4.9584      10.2611  1470.1
0.0660           5.3401      -4.8819      10.2220  1464.5
0.0670           5.3727      -4.7796      10.1523  1454.5
0.0680           5.3358      -4.6468       9.9826  1430.2
0.0690           5.2956      -4.4835       9.7791  1401.0
0.0700           5.2971      -4.2947       9.5918  1374.2
0.0710           5.2765      -4.0902       9.3668  1341.9
0.0720           5.2715      -3.8810       9.1525  1311.2
0.0730           5.3111      -3.6786       8.9897  1287.9
0.0740           5.3024      -3.4929       8.7953  1260.1
0.0750           5.2411      -3.3310       8.5721  1228.1
0.0760           5.2343      -3.1994       8.4337  1208.3
0.0770           5.1941      -3.0985       8.2926  1188.0
0.0780           5.2148      -3.0265       8.2412  1180.7
0.0790           5.1558      -2.9821       8.1380  1165.9
0.0800           5.1452      -2.9628       8.1080  1161.6
0.0810           5.1283      -2.9693       8.0976  1160.1
0.0820           5.1430      -3.0014       8.1444  1166.8
0.0830           5.1529      -3.0631       8.2160  1177.1
0.0840           5.0953      -3.1556       8.2509  1182.1
0.0850           5.1136      -3.2720       8.3857  1201.4
0.0860           5.0955      -3.4030       8.4985  1217.5
0.0870           5.0452      -3.5347       8.5798  1229.2
0.0880           5.0842      -3.6552       8.7394  1252.1
0.0890           5.0954      -3.7534       8.8488  1267.7
0.0900           5.0814      -3.8216       8.9029  1275.5
0.0910           5.0256      -3.8584       8.8840  1272.8
0.0920           4.9697      -3.8702       8.8399  1266.5
0.0930           4.9700      -3.8620       8.8320  1265.3
0.0940           5.0021      -3.8410       8.8431  1266.9
0.0950           4.9963      -3.8170       8.8132  1262.6
0.0960           4.9467      -3.7997       8.7463  1253.0
0.0970           4.9787      -3.7927       8.7713  1256.6
0.0980           4.9587      -3.7981       8.7568  1254.6
0.0990           4.9458      -3.8191       8.7649  1255.7
0.1000           4.9374      -3.8555       8.7929  1259.7
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.6988       5.6988       0.0000     0.0
0.0010           5.7034       5.6988       0.0046     0.7
0.0020           5.7075       5.6987       0.0088     1.3
0.0030           5.7109       5.6986       0.0123     1.8
0.0040           5.7149       5.6985       0.0164     2.3
0.0050           5.7199       5.6982       0.0218     3.1
0.0060           5.7252       5.6976       0.0276     4.0
0.0070           5.7281       5.6967       0.0314     4.5
0.0080           5.7368       5.6954       0.0414     5.9
0.0090           5.7428       5.6936       0.0492     7.0
0.0100           5.7452       5.6909       0.0543     7.8
0.0110           5.7515       5.6871       0.0644     9.2
0.0120           5.7571       5.6819       0.0751    10.8
0.0130           5.7632       5.6750       0.0882    12.6
0.0140           5.7652       5.6660       0.0992    14.2
0.0150           5.7688       5.6545       0.1143    16.4
0.0160           5.7722       5.6398       0.1324    19.0
0.0170           5.7721       5.6212       0.1508    21.6
0.0180           5.7748       5.5976       0.1772    25.4
0.0190           5.7747       5.5676       0.2071    29.7
0.0200           5.7715       5.5297       0.2419    34.7
0.0210           5.7719       5.4824       0.2895    41.5
0.0220           5.7716       5.4224       0.3492    50.0
0.0230           5.7701       5.3471       0.4230    60.6
0.0240           5.7767       5.2526       0.5241    75.1
0.0250           5.7921       5.1342       0.6579    94.3
0.0260           5.7836       4.9861       0.7975   114.3
0.0270           5.7875       4.8036       0.9839   141.0
0.0280           5.8018       4.5792       1.2226   175.2
0.0290           5.7998       4.3083       1.4914   213.7
0.0300           5.8024       3.9836       1.8188   260.6
0.0310           5.7776       3.6000       2.1775   312.0
0.0320           5.7870       3.1535       2.6335   377.3
0.0330           5.7827       2.6369       3.1459   450.7
0.0340           5.7376       2.0525       3.6850   527.9
0.0350           5.7486       1.3989       4.3497   623.2
0.0360           5.7533       0.6762       5.0772   727.4
0.0370           5.7494      -0.1088       5.8582   839.3
0.0380           5.6700      -0.9397       6.6097   946.9
0.0390           5.7226      -1.7997       7.5223  1077.7
0.0400           5.6982      -2.6673       8.3654  1198.5
0.0410           5.6671      -3.5119       9.1791  1315.0
0.0420           5.6348      -4.3073       9.9421  1424.4
0.0430           5.6171      -5.0288      10.6459  1525.2
0.0440           5.6194      -5.6575      11.2769  1615.6
0.0450           5.6027      -6.1786      11.7813  1687.9
0.0460           5.5344      -6.5871      12.1214  1736.6
0.0470           5.4919      -6.8821      12.3741  1772.8
0.0480           5.4601      -7.0725      12.5326  1795.5
0.0490           5.4296      -7.1701      12.5997  1805.1
0.0500           5.4212      -7.1878      12.6090  1806.4
0.0510           5.3976      -7.1380      12.5357  1795.9
0.0520           5.3272      -7.0376      12.3648  1771.5
0.0530           5.3402      -6.9021      12.2423  1753.9
0.0540           5.3756      -6.7447      12.1203  1736.4
0.0550           5.3588      -6.5753      11.9341  1709.7
0.0560           5.2983      -6.4073      11.7057  1677.0
0.0570           5.2258      -6.2538      11.4796  1644.6
0.0580           5.2025      -6.1208      11.3233  1622.2
0.0590           5.2655      -6.0106      11.2761  1615.5
0.0600           5.2935      -5.9193      11.2128  1606.4
0.0610           5.3247      -5.8417      11.1665  1599.8
0.0620           5.3113      -5.7666      11.0779  1587.1
0.0630           5.2630      -5.6764      10.9394  1567.2
0.0640           5.2319      -5.5563      10.7882  1545.6
0.0650           5.2033      -5.3969      10.6002  1518.6
0.0660           5.2283      -5.1946      10.4229  1493.2
0.0670           5.1891      -4.9478      10.1369  1452.3
0.0680           5.1970      -4.6691       9.8660  1413.5
0.0690           5.1663      -4.3731       9.5394  1366.7
0.0700           5.1536      -4.0751       9.2287  1322.2
0.0710           5.1827      -3.7845       8.9672  1284.7
0.0720           5.1703      -3.5182       8.6885  1244.8
0.0730           5.1751      -3.2903       8.4654  1212.8
0.0740           5.1816      -3.1052       8.2868  1187.2
0.0750           5.1539      -2.9671       8.1211  1163.5
0.0760           5.1573      -2.8777       8.0350  1151.1
0.0770           5.1656      -2.8354       8.0010  1146.3
0.0780           5.1449      -2.8391       7.9840  1143.8
0.0790           5.1077      -2.8868       7.9945  1145.3
0.0800           5.1232      -2.9762       8.0994  1160.4
0.0810           5.1377      -3.1009       8.2385  1180.3
0.0820           5.1704      -3.2551       8.4255  1207.1
0.0830           5.1873      -3.4275       8.6148  1234.2
0.0840           5.2410      -3.6112       8.8522  1268.2
0.0850           5.1370      -3.7953       8.9322  1279.7
0.0860           5.0971      -3.9704       9.0674  1299.1
0.0870           5.1578      -4.1284       9.2862  1330.4
0.0880           5.1289      -4.2615       9.3904  1345.3
0.0890           5.1098      -4.3668       9.4766  1357.7
0.0900           5.1069      -4.4447       9.5516  1368.4
0.0910           5.0623      -4.4983       9.5606  1369.7
0.0920           5.0253      -4.5292       9.5545  1368.8
0.0930           5.0350      -4.5398       9.5747  1371.7
0.0940           4.9720      -4.5335       9.5056  1361.8
0.0950           4.9497      -4.5177       9.4674  1356.4
0.0960           5.0201      -4.4944       9.5145  1363.1
0.0970           4.9777      -4.4624       9.4400  1352.4
0.0980           4.9547      -4.4181       9.3729  1342.8
0.0990           4.9262      -4.3593       9.2855  1330.3
0.1000           4.9460      -4.2895       9.2355  1323.1
0.1010           4.9239      -4.2118       9.1357  1308.8
0.1020           4.9075      -4.1309       9.0384  1294.9
0.1030           4.8189      -4.0539       8.8728  1271.2
0.1040           4.7963      -3.9898       8.7861  1258.7
0.1050           4.8402      -3.9479       8.7881  1259.0
0.1060           4.8267      -3.9323       8.7590  1254.9
0.1070           4.7970      -3.9494       8.7464  1253.1
0.1080           4.7996      -4.0028       8.8023  1261.1
0.1090           4.8034      -4.0876       8.8910  1273.8
0.1100           4.8259      -4.2037       9.0296  1293.6
0.1110           4.8603      -4.3461       9.2064  1319.0
0.1120           4.8230      -4.5025       9.3255  1336.0
0.1130           4.8198      -4.6613       9.4811  1358.3
0.1140           4.7667      -4.8084       9.5751  1371.8
0.1150           4.7956      -4.9371       9.7327  1394.4
0.1160           4.7727      -5.0370       9.8097  1405.4
0.1170           4.7847      -5.0976       9.8822  1415.8
0.1180           4.8093      -5.1100       9.9192  1421.1
0.1190           4.8092      -5.0688       9.8780  1415.2
0.1200           4.8075      -4.9733       9.7808  1401.2
0.1210           4.8016      -4.8295       9.6311  1379.8
0.1220           4.7645      -4.6499       9.4144  1348.8
0.1230           4.8235      -4.4425       9.2659  1327.5
0.1240           4.8340      -4.2160       9.0500  1296.6
0.1250           4.8230      -3.9865       8.8095  1262.1
0.1260           4.8219      -3.7703       8.5922  1231.0
0.1270           4.8656      -3.5838       8.4495  1210.5
0.1280           4.8655      -3.4424       8.3080  1190.2
0.1290           4.8607      -3.3581       8.2187  1177.5
0.1300           4.8038      -3.3376       8.1414  1166.4
0.1310           4.7872      -3.3846       8.1718  1170.7
0.1320           4.7307      -3.5021       8.2328  1179.5
0.1330           4.6682      -3.6806       8.3489  1196.1
0.1340           4.6315      -3.9074       8.5389  1223.3
0.1350           4.6318      -4.1613       8.7930  1259.7
0.1360           4.6589      -4.4246       9.0835  1301.4
0.1370           4.6800      -4.6858       9.3658  1341.8
0.1380           4.6438      -4.9383       9.5820  1372.8
0.1390           4.6224      -5.1807       9.8031  1404.5
0.1400           4.6001      -5.4148      10.0149  1434.8
0.1410           4.6069      -5.6397      10.2466  1468.0
0.1420           4.6306      -5.8519      10.4825  1501.8
0.1430           4.6096      -6.0459      10.6555  1526.6
0.1440           4.5880      -6.2138      10.8018  1547.5
0.1450           4.5299      -6.3481      10.8779  1558.4
0.1460           4.5325      -6.4421      10.9746  1572.3
0.1470           4.4620      -6.4904      10.9524  1569.1
0.1480           4.4180      -6.4867      10.9046  1562.3
0.1490           4.3841      -6.4257      10.8099  1548.7
0.1500           4.4237      -6.3028      10.7265  1536.7
0.1510           4.3852      -6.1191      10.5043  1504.9
0.1520           4.4379      -5.8835      10.3214  1478.7
0.1530           4.4183      -5.6049      10.0232  1436.0
0.1540           4.3887      -5.2999       9.6885  1388.0
0.1550           4.4208      -4.9844       9.4051  1347.4
0.1560           4.4390      -4.6695       9.1085  1304.9
0.1570           4.4625      -4.3682       8.8306  1265.1
0.1580           4.4237      -4.0912       8.5149  1219.9
0.1590           4.3704      -3.8443       8.2147  1176.9
0.1600           4.3340      -3.6358       7.9698  1141.8
0.1610           4.3261      -3.4744       7.8006  1117.6
0.1620           4.3421      -3.3629       7.7049  1103.9
0.1630           4.3334      -3.3034       7.6368  1094.1
0.1640           4.2872      -3.2963       7.5835  1086.5
0.1650           4.2776      -3.3368       7.6144  1090.9
0.1660           4.2070      -3.4236       7.6306  1093.2
0.1670           4.1968      -3.5472       7.7440  1109.5
0.1680           4.2085      -3.7020       7.9106  1133.3
0.1690           4.2228      -3.8793       8.1021  1160.8
0.1700           4.1850      -4.0648       8.2498  1181.9
0.1710           4.1869      -4.2475       8.4344  1208.4
0.1720           4.1483      -4.4158       8.5641  1226.9
0.1730           4.1498      -4.5612       8.7109  1248.0
0.1740           4.1177      -4.6801       8.7978  1260.4
0.1750           4.1169      -4.7780       8.8949  1274.3
0.1760           4.1273      -4.8625       8.9898  1287.9
0.1770           4.1271      -4.9437       9.0708  1299.5
0.1780           4.0543      -5.0294       9.0837  1301.4
0.1790           4.0604      -5.1228       9.1831  1315.6
0.1800           4.0603      -5.2256       9.2859  1330.3
0.1810           4.0369      -5.3348       9.3717  1342.6
0.1820           4.0682      -5.4481       9.5163  1363.4
0.1830           4.0509      -5.5593       9.6102  1376.8
0.1840           4.0629      -5.6686       9.7315  1394.2
0.1850           4.0414      -5.7739       9.8153  1406.2
0.1860           4.0151      -5.8695       9.8845  1416.1
0.1870           3.9760      -5.9515       9.9275  1422.3
0.1880           3.9989      -6.0174      10.0163  1435.0
0.1890           4.0210      -6.0621      10.0831  1444.6
0.1900           3.9859      -6.0789      10.0648  1441.9
0.1910           3.9655      -6.0647      10.0302  1437.0
0.1920           3.8670      -6.0187       9.8857  1416.3
0.1930           3.8422      -5.9444       9.7866  1402.1
0.1940           3.8093      -5.8485       9.6577  1383.6
0.1950           3.8561      -5.7413       9.5973  1375.0
0.1960           3.8542      -5.6320       9.4862  1359.0
0.1970           3.8023      -5.5273       9.3296  1336.6
0.1980           3.7526      -5.4383       9.1909  1316.7
0.1990           3.7150      -5.3711       9.0862  1301.7
0.2000           3.7396      -5.3292       9.0688  1299.3
0.2010           3.7028      -5.3127       9.0155  1291.6
0.2020           3.6697      -5.3121       8.9818  1286.8
0.2030           3.6561      -5.3232       8.9793  1286.4
0.2040           3.6527      -5.3374       8.9901  1288.0
0.2050           3.7075      -5.3450       9.0525  1296.9
0.2060           3.6932      -5.3378       9.0310  1293.8
0.2070           3.7519      -5.3064       9.0583  1297.7
0.2080           3.7881      -5.2508       9.0389  1295.0
0.2090           3.7475      -5.1776       8.9251  1278.7
0.2100           3.7554      -5.0991       8.8545  1268.5
0.2110           3.7543      -5.0284       8.7827  1258.3
0.2120           3.6958      -4.9757       8.6715  1242.3
0.2130           3.6834      -4.9471       8.6306  1236.5
0.2140           3.6783      -4.9417       8.6200  1235.0
0.2150           3.6807      -4.9614       8.6421  1238.1
0.2160           3.6954      -5.0039       8.6992  1246.3
0.2170           3.7190      -5.0654       8.7844  1258.5
0.2180           3.6578      -5.1393       8.7971  1260.3
0.2190           3.6581      -5.2155       8.8736  1271.3
0.2200           3.6692      -5.2830       8.9523  1282.6
0.2210           3.6293      -5.3292       8.9584  1283.4
0.2220           3.5828      -5.3505       8.9334  1279.8
0.2230           3.5192      -5.3431       8.8623  1269.7
0.2240           3.5746      -5.3048       8.8794  1272.1
0.2250           3.6103      -5.2391       8.8494  1267.8
0.2260           3.5242      -5.1541       8.6783  1243.3
0.2270           3.5174      -5.0560       8.5733  1228.3
0.2280           3.4685      -4.9515       8.4200  1206.3
0.2290           3.4461      -4.8490       8.2951  1188.4
0.2300           3.4131      -4.7564       8.1695  1170.4
0.2310           3.3404      -4.6829       8.0233  1149.5
0.2320           3.2882      -4.6361       7.9242  1135.3
0.2330           3.3107      -4.6210       7.9317  1136.3
0.2340           3.3336      -4.6376       7.9712  1142.0
0.2350           3.3448      -4.6850       8.0298  1150.4
0.2360           3.3061      -4.7542       8.0603  1154.8
0.2370           3.2724      -4.8433       8.1157  1162.7
0.2380           3.2323      -4.9456       8.1779  1171.6
0.2390           3.2484      -5.0564       8.3048  1189.8
0.2400           3.2457      -5.1645       8.4102  1204.9
0.2410           3.2235      -5.2618       8.4853  1215.7
0.2420           3.2505      -5.3447       8.5951  1231.4
0.2430           3.2636      -5.4068       8.6704  1242.2
0.2440           3.2672      -5.4456       8.7128  1248.2
0.2450           3.2501      -5.4572       8.7073  1247.5
0.2460           3.2570      -5.4409       8.6979  1246.1
0.2470           3.2048      -5.3959       8.6007  1232.2
0.2480           3.1437      -5.3248       8.4685  1213.2
0.2490           3.1122      -5.2298       8.3419  1195.1
0.2500           3.0763      -5.1203       8.1967  1174.3
0.2510           3.0991      -5.0039       8.1030  1160.9
0.2520           3.1051      -4.8883       7.9934  1145.2
0.2530           3.1171      -4.7802       7.8973  1131.4
0.2540           3.1080      -4.6860       7.7940  1116.6
0.2550           3.0571      -4.6137       7.6708  1099.0
0.2560           3.0888      -4.5683       7.6571  1097.0
0.2570           3.1326      -4.5529       7.6855  1101.1
0.2580           3.1101      -4.5691       7.6792  1100.2
0.2590           3.1239      -4.6160       7.7400  1108.9
0.2600           3.1365      -4.6914       7.8279  1121.5
0.2610           3.0967      -4.7875       7.8841  1129.5
0.2620           3.1293      -4.8971       8.0265  1149.9
0.2630           3.0957      -5.0136       8.1093  1161.8
0.2640           3.1135      -5.1329       8.2464  1181.4
0.2650           3.0864      -5.2558       8.3422  1195.1
0.2660           3.0748      -5.3850       8.4598  1212.0
0.2670           3.0469      -5.5236       8.5705  1227.9
0.2680           3.0083      -5.6727       8.6811  1243.7
0.2690           3.0446      -5.8315       8.8761  1271.6
0.2700           3.0130      -5.9947       9.0077  1290.5
0.2710           3.0043      -6.1595       9.1638  1312.9
0.2720           2.9512      -6.3209       9.2721  1328.4
0.2730           2.9228      -6.4705       9.3933  1345.7
0.2740           2.9146      -6.5984       9.5130  1362.9
0.2750           3.0007      -6.6982       9.6988  1389.5
0.2760           2.9494      -6.7650       9.7144  1391.7
0.2770           2.9251      -6.7975       9.7226  1392.9
0.2780           2.9229      -6.7986       9.7215  1392.8
0.2790           2.9153      -6.7726       9.6879  1388.0
0.2800           2.9537      -6.7222       9.6758  1386.2
0.2810           2.9044      -6.6475       9.5519  1368.5
0.2820           2.9306      -6.5529       9.4835  1358.7
0.2830           2.8579      -6.4382       9.2961  1331.8
0.2840           2.8007      -6.3086       9.1093  1305.1
0.2850           2.7405      -6.1703       8.9108  1276.6
0.2860           2.6323      -6.0299       8.6622  1241.0
0.2870           2.6311      -5.8946       8.5257  1221.4
0.2880           2.5699      -5.7703       8.3402  1194.9
0.2890           2.5310      -5.6626       8.1936  1173.9
0.2900           2.5006      -5.5736       8.0742  1156.8
0.2910           2.4622      -5.5066       7.9688  1141.7
0.2920           2.4863      -5.4625       7.9488  1138.8
0.2930           2.4110      -5.4398       7.8508  1124.7
0.2940           2.4047      -5.4298       7.8345  1122.4
0.2950           2.3896      -5.4310       7.8206  1120.4
0.2960           2.4051      -5.4369       7.8420  1123.5
0.2970           2.3664      -5.4406       7.8070  1118.5
0.2980           2.3738      -5.4356       7.8094  1118.8
0.2990           2.3251      -5.4238       7.7489  1110.2
0.3000           2.3370      -5.4054       7.7423  1109.2
0.3010           2.3297      -5.3813       7.7110  1104.7
0.3020           2.3182      -5.3562       7.6743  1099.5
0.3030           2.3397      -5.3339       7.6737  1099.4
0.3040           2.3671      -5.3196       7.6867  1101.2
0.3050           2.3382      -5.3168       7.6550  1096.7
0.3060           2.3007      -5.3271       7.6278  1092.8
0.3070           2.2900      -5.3487       7.6387  1094.4
0.3080           2.2765      -5.3796       7.6560  1096.8
0.3090           2.2662      -5.4134       7.6796  1100.2
0.3100           2.2643      -5.4409       7.7051  1103.9
0.3110           2.2559      -5.4571       7.7130  1105.0
0.3120           2.2115      -5.4596       7.6711  1099.0
0.3130           2.2484      -5.4469       7.6952  1102.5
0.3140           2.2341      -5.4155       7.6495  1095.9
0.3150           2.2535      -5.3678       7.6213  1091.9
