Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.6988       5.6988       0.0000     0.0
0.0010           5.7026       5.6988       0.0039     0.6
0.0020           5.7066       5.6987       0.0079     1.1
0.0030           5.7100       5.6987       0.0113     1.6
0.0040           5.7143       5.6985       0.0158     2.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.6988       5.6988       0.0000     0.0
0.0010           5.7037       5.6988       0.0049     0.7
0.0020           5.7076       5.6987       0.0089     1.3
0.0030           5.7101       5.6986       0.0115     1.6
0.0040           5.7140       5.6985       0.0155     2.2
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.6988       5.6988       0.0000     0.0
0.0010           5.7032       5.6988       0.0044     0.6
0.0020           5.7066       5.6987       0.0079     1.1
0.0030           5.7112       5.6987       0.0125     1.8
0.0040           5.7152       5.6985       0.0168     2.4
0.0050           5.7180       5.6981       0.0198     2.8
0.0060           5.7219       5.6977       0.0242     3.5
0.0070           5.7251       5.6970       0.0281     4.0
0.0080           5.7291       5.6961       0.0331     4.7
0.0090           5.7346       5.6948       0.0398     5.7
0.0100           5.7413       5.6929       0.0484     6.9
0.0110           5.7483       5.6903       0.0579     8.3
0.0120           5.7562       5.6868       0.0694     9.9
0.0130           5.7611       5.6823       0.0788    11.3
0.0140           5.7622       5.6765       0.0857    12.3
0.0150           5.7695       5.6692       0.1003    14.4
0.0160           5.7748       5.6592       0.1156    16.6
0.0170           5.7785       5.6465       0.1320    18.9
0.0180           5.7823       5.6306       0.1517    21.7
0.0190           5.7885       5.6100       0.1785    25.6
0.0200           5.7950       5.5835       0.2115    30.3
0.0210           5.8014       5.5494       0.2520    36.1
0.0220           5.8070       5.5056       0.3014    43.2
0.0230           5.8065       5.4496       0.3569    51.1
0.0240           5.8167       5.3789       0.4379    62.7
0.0250           5.8028       5.2897       0.5131    73.5
0.0260           5.8076       5.1779       0.6297    90.2
0.0270           5.8012       5.0366       0.7646   109.5
0.0280           5.8094       4.8590       0.9504   136.2
0.0290           5.8102       4.6377       1.1726   168.0
0.0300           5.8023       4.3663       1.4360   205.7
0.0310           5.8136       4.0343       1.7792   254.9
0.0320           5.8129       3.6330       2.1799   312.3
0.0330           5.8112       3.1547       2.6566   380.6
0.0340           5.8147       2.5952       3.2195   461.2
0.0350           5.8079       1.9516       3.8564   552.5
0.0360           5.8301       1.2241       4.6060   659.9
0.0370           5.8218       0.4209       5.4010   773.8
0.0380           5.7747      -0.4384       6.2131   890.1
0.0390           5.7683      -1.3345       7.1028  1017.6
0.0400           5.7875      -2.2417       8.0292  1150.3
0.0410           5.7871      -3.1323       8.9195  1277.9
0.0420           5.7664      -3.9728       9.7392  1395.3
0.0430           5.7664      -4.7345      10.5010  1504.4
0.0440           5.7237      -5.3922      11.1159  1592.5
0.0450           5.7033      -5.9274      11.6307  1666.3
0.0460           5.6417      -6.3303      11.9720  1715.2
0.0470           5.6838      -6.5996      12.2834  1759.8
0.0480           5.6584      -6.7443      12.4027  1776.9
0.0490           5.7103      -6.7821      12.4924  1789.7
0.0500           5.6808      -6.7377      12.4186  1779.2
0.0510           5.5931      -6.6384      12.2315  1752.4
0.0520           5.5460      -6.5100      12.0560  1727.2
0.0530           5.4669      -6.3781      11.8450  1697.0
0.0540           5.4838      -6.2598      11.7435  1682.4
0.0550           5.4054      -6.1692      11.5746  1658.2
0.0560           5.3782      -6.1160      11.4942  1646.7
0.0570           5.4578      -6.1027      11.5605  1656.2
0.0580           5.4274      -6.1252      11.5526  1655.1
0.0590           5.3441      -6.1744      11.5185  1650.2
0.0600           5.2718      -6.2326      11.5044  1648.2
0.0610           5.2421      -6.2763      11.5185  1650.2
0.0620           5.1930      -6.2859      11.4790  1644.5
0.0630           5.1563      -6.2443      11.4006  1633.3
0.0640           5.1875      -6.1408      11.3284  1623.0
0.0650           5.2011      -5.9711      11.1722  1600.6
0.0660           5.1813      -5.7376      10.9189  1564.3
0.0670           5.1584      -5.4508      10.6092  1519.9
0.0680           5.1531      -5.1240      10.2771  1472.4
0.0690           5.1085      -4.7679       9.8764  1415.0
0.0700           5.0993      -4.3985       9.4978  1360.7
0.0710           5.0686      -4.0323       9.1009  1303.8
0.0720           5.0380      -3.6836       8.7216  1249.5
