time_ps,xtb_HBonds,mlp_HBonds,mha_HBonds,conv_HBonds,comb_HBonds
0.0,0.046875,0.046875,0.046875,0.046875,0.046875
5.0,0.046875,0.046875,0.046875,0.046875,0.046875
10.0,0.046875,0.046875,0.046875,0.046875,0.046875
15.0,0.046875,0.046875,0.046875,0.046875,0.046875
20.0,0.046875,0.046875,0.046875,0.046875,0.046875
25.0,0.046875,0.046875,0.046875,0.046875,0.046875
30.0,0.046875,0.046875,0.046875,0.046875,0.046875
35.0,0.046875,0.046875,0.046875,0.046875,0.046875
40.0,0.046875,0.046875,0.046875,0.046875,0.046875
45.0,0.046875,0.046875,0.046875,0.046875,0.046875
50.0,0.046875,0.046875,0.046875,0.046875,0.046875
55.0,0.046875,0.046875,0.046875,0.046875,0.046875
60.0,0.046875,0.046875,0.046875,0.046875,0.046875
65.0,0.046875,0.046875,0.046875,0.046875,0.046875
70.0,0.046875,0.046875,0.046875,0.046875,0.046875
75.0,0.046875,0.046875,0.046875,0.046875,0.046875
80.0,0.046875,0.046875,0.046875,0.046875,0.046875
85.0,0.046875,0.046875,0.046875,0.046875,0.046875
90.0,0.046875,0.046875,0.046875,0.046875,0.046875
95.0,0.046875,0.046875,0.046875,0.046875,0.046875
100.0,0.046875,0.046875,0.046875,0.046875,0.046875
105.0,0.046875,0.046875,0.046875,0.046875,0.046875
110.0,0.046875,0.046875,0.046875,0.046875,0.046875
115.0,0.046875,0.046875,0.046875,0.046875,0.046875
120.0,0.046875,0.046875,0.046875,0.046875,0.046875
125.0,0.046875,0.046875,0.046875,0.046875,0.046875
130.0,0.046875,0.046875,0.046875,0.046875,0.046875
135.0,0.046875,0.046875,0.046875,0.046875,0.046875
140.0,0.046875,0.046875,0.046875,0.046875,0.046875
145.0,0.046875,0.046875,0.046875,0.046875,0.046875
150.0,0.046875,0.046875,0.046875,0.046875,0.046875
155.0,0.046875,0.046875,0.046875,0.046875,0.046875
160.0,0.046875,0.046875,0.046875,0.046875,0.046875
165.0,0.046875,0.046875,0.046875,0.046875,0.046875
170.0,0.046875,0.046875,0.046875,0.046875,0.046875
175.0,0.046875,0.046875,0.046875,0.046875,0.046875
180.0,0.046875,0.046875,0.046875,0.046875,0.046875
185.0,0.046875,0.046875,0.046875,0.046875,0.046875
190.0,0.046875,0.046875,0.046875,0.046875,0.046875
195.0,0.046875,0.046875,0.046875,0.046875,0.046875
200.0,0.046875,0.046875,0.046875,0.046875,0.046875
205.0,0.046875,0.046875,0.046875,0.046875,0.046875
210.0,0.046875,0.046875,0.046875,0.046875,0.046875
215.0,0.046875,0.046875,0.046875,0.046875,0.046875
220.0,0.046875,0.046875,0.046875,0.046875,0.046875
225.0,0.046875,0.046875,0.046875,0.046875,0.046875
230.0,0.046875,0.046875,0.046875,0.046875,0.046875
235.0,0.046875,0.046875,0.046875,0.046875,0.046875
240.0,0.046875,0.046875,0.046875,0.046875,0.046875
245.0,0.046875,0.046875,0.046875,0.046875,0.046875
250.0,0.046875,0.046875,0.046875,0.046875,0.046875
255.0,0.046875,0.046875,0.046875,0.046875,0.046875
260.0,0.046875,0.046875,0.046875,0.046875,0.046875
265.0,0.046875,0.046875,0.046875,0.046875,0.046875
270.0,0.046875,0.046875,0.046875,0.046875,0.046875
275.0,0.046875,0.046875,0.046875,0.046875,0.046875
280.0,0.046875,0.046875,0.046875,0.046875,0.046875
285.0,0.046875,0.046875,0.046875,0.046875,0.046875
290.0,0.046875,0.046875,0.046875,0.046875,0.046875
295.0,0.03125,0.046875,0.046875,0.046875,0.046875
300.0,0.03125,0.046875,0.046875,0.046875,0.046875
305.0,0.03125,0.046875,0.046875,0.046875,0.046875
310.0,0.03125,0.046875,0.046875,0.046875,0.046875
315.0,0.03125,0.046875,0.046875,0.046875,0.046875
320.0,0.03125,0.046875,0.046875,0.046875,0.046875
325.0,0.03125,0.046875,0.046875,0.046875,0.046875
330.0,0.03125,0.046875,0.046875,0.046875,0.046875
335.0,0.03125,0.046875,0.046875,0.046875,0.046875
340.0,0.03125,0.046875,0.03125,0.046875,0.046875
345.0,0.03125,0.046875,0.03125,0.046875,0.046875
350.0,0.03125,0.046875,0.03125,0.046875,0.046875
355.0,0.03125,0.046875,0.03125,0.046875,0.046875
360.0,0.03125,0.046875,0.03125,0.046875,0.046875
365.0,0.03125,0.046875,0.03125,0.046875,0.046875
370.0,0.03125,0.046875,0.03125,0.046875,0.046875
375.0,0.03125,0.046875,0.03125,0.046875,0.046875
380.0,0.03125,0.046875,0.03125,0.046875,0.046875
385.0,0.03125,0.046875,0.03125,0.046875,0.046875
390.0,0.03125,0.046875,0.03125,0.046875,0.046875
395.0,0.03125,0.046875,0.03125,0.046875,0.046875
400.0,0.03125,0.046875,0.03125,0.046875,0.046875
405.0,0.03125,0.046875,0.03125,0.046875,0.046875
410.0,0.03125,0.046875,0.03125,0.046875,0.046875
415.0,0.03125,0.046875,0.03125,0.046875,0.046875
420.0,0.03125,0.046875,0.03125,0.046875,0.046875
425.0,0.03125,0.046875,0.03125,0.046875,0.046875
430.0,0.03125,0.046875,0.03125,0.046875,0.046875
435.0,0.03125,0.046875,0.03125,0.046875,0.046875
440.0,0.03125,0.046875,0.03125,0.046875,0.046875
445.0,0.03125,0.046875,0.03125,0.046875,0.046875
450.0,0.03125,0.046875,0.03125,0.046875,0.046875
455.0,0.03125,0.046875,0.03125,0.046875,0.046875
460.0,0.03125,0.046875,0.03125,0.046875,0.046875
465.0,0.03125,0.046875,0.03125,0.046875,0.046875
470.0,0.03125,0.046875,0.03125,0.046875,0.046875
475.0,0.03125,0.046875,0.03125,0.046875,0.046875
480.0,0.03125,0.046875,0.03125,0.046875,0.046875
485.0,0.03125,0.046875,0.03125,0.046875,0.046875
490.0,0.03125,0.046875,0.03125,0.046875,0.046875
495.0,0.03125,0.046875,0.03125,0.046875,0.046875
500.0,0.03125,0.046875,0.03125,0.046875,0.046875
505.0,0.03125,0.046875,0.03125,0.046875,0.046875
510.0,0.03125,0.046875,0.03125,0.046875,0.046875
515.0,0.03125,0.046875,0.03125,0.046875,0.046875
520.0,0.03125,0.046875,0.03125,0.046875,0.046875
525.0,0.03125,0.046875,0.03125,0.046875,0.046875
530.0,0.03125,0.046875,0.03125,0.046875,0.046875
535.0,0.03125,0.046875,0.03125,0.046875,0.046875
540.0,0.03125,0.046875,0.03125,0.046875,0.046875
545.0,0.03125,0.046875,0.03125,0.046875,0.046875
550.0,0.03125,0.046875,0.03125,0.046875,0.046875
555.0,0.03125,0.03125,0.03125,0.046875,0.046875
560.0,0.03125,0.03125,0.03125,0.046875,0.046875
565.0,0.03125,0.03125,0.03125,0.046875,0.046875
570.0,0.03125,0.03125,0.03125,0.046875,0.046875
575.0,0.03125,0.03125,0.03125,0.046875,0.046875
580.0,0.03125,0.03125,0.03125,0.046875,0.046875
585.0,0.03125,0.03125,0.03125,0.046875,0.046875
590.0,0.03125,0.03125,0.03125,0.046875,0.046875
595.0,0.03125,0.03125,0.03125,0.046875,0.046875
600.0,0.03125,0.03125,0.03125,0.046875,0.046875
605.0,0.03125,0.03125,0.03125,0.046875,0.046875
610.0,0.03125,0.03125,0.03125,0.046875,0.046875
615.0,0.03125,0.03125,0.03125,0.046875,0.046875
620.0,0.03125,0.03125,0.03125,0.046875,0.046875
625.0,0.03125,0.03125,0.03125,0.046875,0.046875
630.0,0.03125,0.03125,0.03125,0.046875,0.046875
635.0,0.03125,0.03125,0.03125,0.046875,0.046875
640.0,0.03125,0.03125,0.03125,0.046875,0.046875
645.0,0.03125,0.03125,0.03125,0.046875,0.046875
650.0,0.03125,0.03125,0.03125,0.046875,0.046875
655.0,0.03125,0.03125,0.03125,0.046875,0.046875
660.0,0.03125,0.03125,0.03125,0.046875,0.046875
665.0,0.03125,0.03125,0.03125,0.046875,0.046875
670.0,0.03125,0.03125,0.03125,0.046875,0.046875
675.0,0.03125,0.03125,0.03125,0.046875,0.046875
680.0,0.03125,0.03125,0.03125,0.046875,0.046875
685.0,0.03125,0.03125,0.03125,0.046875,0.046875
690.0,0.03125,0.03125,0.03125,0.046875,0.046875
695.0,0.03125,0.03125,0.03125,0.046875,0.046875
700.0,0.03125,0.03125,0.03125,0.046875,0.046875
705.0,0.03125,0.03125,0.03125,0.046875,0.046875
710.0,0.03125,0.03125,0.03125,0.046875,0.046875
715.0,0.03125,0.03125,0.03125,0.046875,0.046875
720.0,0.03125,0.03125,0.03125,0.046875,0.046875
725.0,0.03125,0.03125,0.03125,0.046875,0.046875
730.0,0.03125,0.03125,0.03125,0.046875,0.046875
735.0,0.03125,0.03125,0.03125,0.046875,0.046875
740.0,0.03125,0.03125,0.03125,0.046875,0.046875
745.0,0.03125,0.03125,0.03125,0.046875,0.046875
750.0,0.03125,0.03125,0.03125,0.046875,0.046875
755.0,0.03125,0.03125,0.03125,0.046875,0.046875
760.0,0.03125,0.03125,0.03125,0.046875,0.046875
765.0,0.03125,0.03125,0.03125,0.046875,0.046875
770.0,0.03125,0.03125,0.03125,0.046875,0.046875
775.0,0.03125,0.03125,0.03125,0.046875,0.046875
780.0,0.03125,0.03125,0.03125,0.046875,0.046875
785.0,0.03125,0.03125,0.03125,0.046875,0.046875
790.0,0.03125,0.03125,0.03125,0.046875,0.046875
795.0,0.03125,0.03125,0.03125,0.046875,0.046875
800.0,0.03125,0.03125,0.03125,0.046875,0.046875
805.0,0.03125,0.03125,0.03125,0.046875,0.046875
810.0,0.03125,0.03125,0.03125,0.046875,0.046875
815.0,0.03125,0.03125,0.03125,0.046875,0.046875
820.0,0.03125,0.03125,0.03125,0.046875,0.046875
825.0,0.03125,0.03125,0.03125,0.046875,0.046875
830.0,0.03125,0.03125,0.03125,0.046875,0.046875
835.0,0.03125,0.03125,0.03125,0.046875,0.046875
840.0,0.03125,0.03125,0.03125,0.046875,0.046875
845.0,0.03125,0.03125,0.03125,0.046875,0.046875
850.0,0.03125,0.03125,0.03125,0.046875,0.046875
855.0,0.03125,0.03125,0.03125,0.046875,0.046875
860.0,0.03125,0.03125,0.03125,0.046875,0.046875
865.0,0.03125,0.03125,0.03125,0.046875,0.046875
870.0,0.03125,0.03125,0.03125,0.046875,0.046875
875.0,0.03125,0.03125,0.03125,0.046875,0.046875
880.0,0.03125,0.03125,0.03125,0.046875,0.046875
885.0,0.03125,0.03125,0.03125,0.046875,0.046875
890.0,0.03125,0.03125,0.03125,0.046875,0.046875
895.0,0.03125,0.03125,0.03125,0.046875,0.046875
900.0,0.03125,0.03125,0.03125,0.046875,0.046875
905.0,0.03125,0.03125,0.03125,0.046875,0.046875
910.0,0.03125,0.03125,0.03125,0.046875,0.046875
915.0,0.03125,0.03125,0.03125,0.046875,0.046875
920.0,0.03125,0.03125,0.03125,0.046875,0.046875
925.0,0.03125,0.03125,0.03125,0.046875,0.046875
930.0,0.03125,0.03125,0.03125,0.046875,0.046875
935.0,0.03125,0.03125,0.03125,0.046875,0.046875
940.0,0.03125,0.03125,0.03125,0.046875,0.046875
945.0,0.03125,0.03125,0.03125,0.046875,0.046875
950.0,0.03125,0.03125,0.03125,0.046875,0.046875
955.0,0.03125,0.03125,0.03125,0.046875,0.046875
960.0,0.03125,0.03125,0.03125,0.046875,0.046875
965.0,0.03125,0.03125,0.03125,0.046875,0.046875
970.0,0.03125,0.03125,0.03125,0.046875,0.046875
975.0,0.03125,0.03125,0.03125,0.046875,0.046875
980.0,0.03125,0.03125,0.03125,0.046875,0.046875
985.0,0.03125,0.03125,0.03125,0.046875,0.046875
990.0,0.03125,0.03125,0.03125,0.046875,0.046875
995.0,0.03125,0.03125,0.03125,0.046875,0.046875
