time_ps,mlp_epot,mlp_ekin,mlp_etot,mha_epot,mha_ekin,mha_etot,conv_epot,conv_ekin,conv_etot,comb_epot,comb_ekin,comb_etot,MACE_epot,MACE_ekin,MACE_etot
0.0195,-8826.94672515768,7.685247740787597,-8819.261477416892,-8826.349147705021,7.347122784906663,-8819.002024920115,-8824.878070441666,7.303523148813304,-8817.574547292852,-8826.11417212862,7.635647078832417,-8818.478525049788,-133094.51637517553,8.237897602269083,-133086.27847757327
0.02,-8826.94911804575,7.687642300907208,-8819.261475744843,-8826.354513672772,7.35249090628551,-8819.002022766486,-8824.8862555303,7.311715514959754,-8817.574540015341,-8826.124002722683,7.641785142563388,-8818.48221758012,-133094.525367537,8.24688992966147,-133086.27847760732
0.0205,-8826.951583889904,7.690105813121917,-8819.261478076782,-8826.35996714014,7.357935407165152,-8819.002031732976,-8824.894576279106,7.320034126503451,-8817.574542152603,-8826.130793241444,7.648027788956521,-8818.482765452487,-133094.53456128936,8.256083647401168,-133086.27847764196
0.021,-8826.954123524609,7.692638097710574,-8819.261485426898,-8826.3654859342,7.363456022184278,-8819.002029912017,-8824.903029290619,7.328478669396363,-8817.574550621222,-8826.134105829182,7.654374269599059,-8818.479731559582,-133094.54395588057,8.26547820344323,-133086.27847767712
0.0215,-8826.956722287121,7.69523898819447,-8819.261483298926,-8826.371085790577,7.369052474378906,-8819.002033316197,-8824.911602584305,7.337048812671479,-8817.574553771634,-8826.14055600542,7.660824407207038,-8818.479731598214,-133094.55355074996,8.275073037155698,-133086.2784777128
0.022,-8826.95939042944,7.697908309314147,-8819.261482120126,-8826.376742867413,7.374724500403275,-8819.00201836701,-8824.920275656166,7.345744242689277,-8817.574531413477,-8826.14710691351,7.667378477926555,-8818.479728435583,-133094.56334532838,8.28486757938784,-133086.278477749
0.0225,-8826.96212699789,7.700645878482871,-8819.261481119407,-8826.382485774937,7.380471828142024,-8819.002013946794,-8824.929105786267,7.354564644175292,-8817.574541142092,-8826.153759507122,7.6740362539512015,-8818.479723253171,-133094.57333903827,8.294861252538958,-133086.27847778573
0.023,-8826.964940098705,7.703451509175094,-8819.261488589531,-8826.388311413708,7.386294189079455,-8819.002017224628,-8824.927892056885,7.363510444216584,-8817.564381612669,-8826.160520819607,7.680797513115283,-8818.479723306491,-133094.58353129358,8.30505347062773,-133086.27847782295
0.0235,-8826.967802671375,7.706325023140141,-8819.261477648235,-8826.394211677494,7.392191301502315,-8819.002020375992,-8824.936941412869,7.372581262128744,-8817.56436015074,-8826.167388943615,7.68766202724864,-8818.479726916366,-133094.59392150005,8.315443639362096,-133086.2784778607
0.024,-8826.970751432362,7.709266237235516,-8819.261485195126,-8826.400190142575,7.39816286182972,-8819.002027280745,-8824.94614627737,7.381775978850057,-8817.56437029852,-8826.174359349194,7.694629565208068,-8818.479729783985,-133094.60450905515,8.326031156209634,-133086.27847789894
0.0245,-8826.973761466923,7.712274943127117,-8819.261486523796,-8826.406233934345,7.404208599372236,-8819.002025334974,-8824.959226099434,7.391093785921685,-8817.568132313512,-8826.181419280949,7.701699883380305,-8818.479719397568,-133094.61529334815,8.336815410468137,-133086.27847793768
0.025,-8826.97683933157,7.715350947171919,-8819.261488384398,-8826.415423659268,7.410328282632009,-8819.005095376635,-8824.968658832493,7.4005343094885445,-8817.568124523004,-8826.185587433758,7.708873302211243,-8818.476714131546,-133094.62627376028,8.34779578333644,-133086.27847797694
0.0255,-8826.97998204607,7.718494061464838,-8819.261487984606,-8826.418606070461,7.416521558057186,-8819.002084512404,-8824.978229311886,7.410097639546186,-8817.56813167234,-8826.18285384554,7.716147656713756,-8818.466706188825,-133094.63744966465,8.358971647986538,-133086.27847801667
0.026,-8826.983194974842,7.721704094061996,-8819.261490880781,-8826.427182821217,7.422787995888225,-8819.004394825328,-8824.987918464127,7.419783392314855,-8817.568135071811,-8826.190225271168,7.723522117246349,-8818.466703153921,-133094.64882042652,8.370342369636218,-133086.2784780569
0.0265,-8826.98647406477,7.724980851340003,-8819.26149321343,-8826.42725434679,7.429127729871606,-8818.99812661692,-8825.000652758064,7.429592114030649,-8817.571060644033,-8826.19769850153,7.730998353805447,-8818.466700147725,-133094.66038540323,8.381907305621688,-133086.2784780976
0.027,-8826.989797858181,7.728324127430667,-8819.26147373075,-8826.433668402615,7.435540578224544,-8818.99812782439,-8825.018287686291,7.439524109193562,-8817.578763577098,-8826.197918800297,7.73857627917467,-8818.459342521122,-133094.67214394425,8.393665805470937,-133086.2784781388
0.0275,-8826.993217257443,7.731733715308433,-8819.261483542134,-8826.443763045254,7.442025811863856,-8819.00173723339,-8825.028332380238,7.44957809757694,-8817.57875428266,-8826.205591110172,7.746255654322043,-8818.459335455851,-133094.6840953914,8.405617210977393,-133086.2784781804
0.028,-8826.996690658512,7.735209406118055,-8819.261481252393,-8826.450312522831,7.448583122578331,-8819.001729400254,-8825.038519469681,7.459753022161838,-8817.57876644752,-8826.213367847386,7.754036104000329,-8818.459331743385,-133094.69623907882,8.417760856273821,-133086.27847822255
0.0285,-8827.000235704365,7.738750983742346,-8819.261484720622,-8826.456939486447,7.455212254080273,-8819.001727232366,-8825.04880556244,7.470048485422651,-8817.578757077017,-8826.22254708189,7.76191733786435,-8818.460629744026,-133094.70857433302,8.430096067906613,-133086.27847826513
0.029,-8827.003849653187,7.742358239381138,-8819.261491413807,-8826.463653353634,7.461912888140785,-8819.001740465494,-8825.05731245655,7.480465736479912,-8817.57684672007,-8826.23052409071,7.769899057107462,-8818.460625033602,-133094.72110047308,8.442622164910466,-133086.27847830817
0.0295,-8827.007509020748,7.746030970493612,-8819.261478050255,-8826.470417527142,7.468684719116856,-8819.001732808025,-8825.067839411679,7.491004395794695,-8817.576835015883,-8826.238602308216,7.777981053273796,-8818.460621254942,-133094.73381681053,8.455338458883467,-133086.27847835165
0.03,-8827.011254457417,7.749768954635638,-8819.26148550278,-8826.477254775944,7.475527427041408,-8819.001727348903,-8825.078493563118,7.501662387526931,-8817.576831175591,-8826.246791032734,7.786163055323863,-8818.46062797741,-133094.74672264964,8.46824425406255,-133086.27847839557
0.0305,-8827.01505115408,7.753571969011109,-8819.261479185068,-8826.474182514134,7.482440886827185,-8818.991741627306,-8825.08926978487,7.512439282970716,-8817.5768305019,-8826.255072859707,7.794444774929805,-8818.460628084777,-133094.75981728735,8.481338847399016,-133086.27847843996
0.031,-8827.018922594967,7.757439785982232,-8819.261482808985,-8826.481176523152,7.489424781640002,-8818.991751741512,-8825.093071905556,7.523334123403243,-8817.569737782153,-8826.262898472729,7.802825831486389,-8818.460072641243,-133094.7731000134,8.494621528634509,-133086.27847848478
0.0315,-8827.022857335987,7.761372178617307,-8819.26148515737,-8826.488221672955,7.496478586571529,-8818.991743086382,-8825.104080227795,7.534346496006046,-8817.569733731789,-8826.271895674648,7.811306010774382,-8818.460589663875,-133094.78657011042,8.50809158037747,-133086.27847853003
0.032,-8827.026856211605,7.765368927195908,-8819.26148728441,-8826.495354083958,7.503601989644109,-8818.991752094315,-8825.115215388718,7.545476482456456,-8817.56973890626,-8826.280472425404,7.819885149376138,-8818.460587276028,-133094.8002268539,8.521748278179642,-133086.27847857572
0.0325,-8827.030913142147,7.769429809133297,-8819.261483333014,-8826.502545145931,7.510794660956417,-8818.991750484975,-8825.126462129536,7.5567236246396465,-8817.569738504897,-8826.291085866871,7.828565966518655,-8818.462519900353,-133094.81406951245,8.535590890612854,-133086.27847862183
0.033,-8827.035039214077,7.773554589236774,-8819.26148462484,-8826.509800580921,7.518056259595386,-8818.991744321325,-8825.137822178784,7.568087497710701,-8817.569734681072,-8826.299855736675,7.837348150339304,-8818.462507586337,-133094.8280973477,8.54961867934622,-133086.27847866833
0.0335,-8827.039229539814,7.777743036111624,-8819.261486503703,-8826.516036657276,7.5253865491448195,-8818.990650108131,-8825.149311927738,7.579567629494376,-8817.569744298244,-8826.308733967724,7.8462283680117135,-8818.462505599713,-133094.8423096145,8.563830899223554,-133086.27847871528
0.034,-8827.043479112568,7.7819949182474435,-8819.261484194321,-8826.523435977879,7.532785186484189,-8818.990650791395,-8825.160909322682,7.591163535814336,-8817.569745786866,-8826.321028021755,7.85521038042459,-8818.46581764133,-133094.85670556096,8.578226798340973,-133086.27847876263
0.0345,-8827.047795442524,7.786309993140883,-8819.261485449384,-8826.53091099638,7.540251739979373,-8818.9906592564,-8825.1691968717,7.60287390972001,-8817.56632296198,-8826.33010998148,7.864293971850172,-8818.46581600963,-133094.8712844285,8.59280561812476,-133086.27847881036
0.035,-8827.052171496334,7.790688025721076,-8819.261483470613,-8826.526188281956,7.547785942939419,-8818.978402339017,-8825.181022612038,7.614698257325428,-8817.566324354713,-8826.344296006146,7.873475840968265,-8818.470820165177,-133094.88604545192,8.607566593409395,-133086.2784788585
0.0355,-8827.056611207905,7.795128786552338,-8819.261482421352,-8826.533788231793,7.555387447346531,-8818.978400784446,-8825.192952839318,7.6266369286257465,-8817.566315910692,-8826.355224994602,7.882754706611956,-8818.47247028799,-133094.90098785955,8.622508952515787,-133086.27847890704
0.036,-8827.061117080631,7.799632028688927,-8819.261485051942,-8826.541445640507,7.5630558477578065,-8818.97838979275,-8825.20501503128,7.63868942936298,-8817.566325601918,-8826.366327670994,7.892129319290395,-8818.474198351703,-133094.9161108733,8.6376319173297,-133086.27847895597
0.0365,-8827.065675286236,7.804197493412894,-8819.261477792823,-8826.549193409863,7.5707907905482745,-8818.978402619314,-8825.217184630814,7.6508552666561425,-8817.566329364157,-8826.375519422474,7.901600300267739,-8818.473919122207,-133094.93141370866,8.652934703380332,-133086.27847900527
0.037,-8827.070311216297,7.808824936031429,-8819.261486280266,-8826.557001141491,7.578591911771861,-8818.97840922972,-8825.229457882824,7.663133949457152,-8817.566323933366,-8826.385844973507,7.911167566898203,-8818.47467740661,-133094.9468955749,8.668416519919052,-133086.27847905498
0.0375,-8827.075011280956,7.81351410759482,-8819.261497173362,-8826.564863470974,7.586458875524556,-8818.97840459545,-8825.241844681683,7.6755249761297355,-8817.566319705553,-8826.388972667637,7.920831928730886,-8818.468140738905,-133094.96255567504,8.684076569998357,-133086.27847910504
0.038,-8827.079741624775,7.818264759425158,-8819.26147686535,-8826.572791127148,7.594391314972013,-8818.978399812177,-8825.254341808739,7.688027849780963,-8817.566313958958,-8826.399359015408,7.930592570387638,-8818.46876644502,-133094.97839320602,8.699914050550918,-133086.27847915547
0.0385,-8827.084556964817,7.823076641367535,-8819.26148032345,-8826.591250924053,7.602391315746199,-8818.988859608307,-8825.266970304432,7.700642060304699,-8817.566328244127,-8826.409195689144,7.940448012143685,-8818.468747677001,-133094.99440735872,8.71592815246872,-133086.27847920626
0.039,-8827.089431909504,7.827949503362781,-8819.261482406142,-8826.599304226818,7.610458573038737,-8818.98884565378,-8825.279681292954,7.713367077564519,-8817.56631421539,-8826.408002284947,7.9503981506108445,-8818.457604134335,-133095.0105973181,8.732118060682417,-133086.2784792574
0.0395,-8827.094363836231,7.8328830933315725,-8819.2614807429,-8826.60744038004,7.618590274778596,-8818.988850105261,-8825.292530743065,7.726202364078852,-8817.566328378985,-8826.418046740475,7.960442635741164,-8818.457604104733,-133095.02696226316,8.748482954240771,-133086.2784793089
0.04,-8827.099367288532,7.837877147051579,-8819.261490141482,-8826.615646866741,7.6267860545052555,-8818.988860812236,-8825.305471328678,7.739147395584766,-8817.566323933093,-8826.428197173062,7.970581044004512,-8818.457616129057,-133095.04350136715,8.76502200639014,-133086.27847936077
0.0405,-8827.10442343134,7.842931403689294,-8819.26149202765,-8826.623902229252,7.635045556951919,-8818.9888566723,-8825.31852277893,7.752201667059149,-8817.566321111872,-8826.438424257221,7.980813030665128,-8818.457611226557,-133095.0602137976,8.7817343846541,-133086.27847941295
0.041,-8827.109528211537,7.848045606038786,-8819.261482605498,-8826.632220653477,7.643368404663111,-8818.988852248815,-8825.33169224638,7.765364624896069,-8817.566327621484,-8826.448746828022,7.991138248603153,-8818.45760857942,-133095.0770987164,8.798619250913125,-133086.2784794655
0.0415,-8827.114706663075,7.853219484650368,-8819.261487178424,-8826.640606788578,7.651754226507573,-8818.98885256207,-8825.344967631283,7.778635721757084,-8817.566331909526,-8826.459160832348,8.001556329783387,-8818.457604502564,-133095.09415527983,8.815675761484314,-133086.27847951834
0.042,-8827.119932798329,7.858452785201015,-8819.261480013127,-8826.649058131161,7.660202642153829,-8818.988855489008,-8825.358341661873,7.792014417530396,-8817.566327244343,-8826.468341497364,8.012066897500288,-8818.456274599865,-133095.11138263874,8.832903067201185,-133086.27847957154
0.0425,-8827.125225929203,7.863745254264361,-8819.261480674939,-8826.648791817608,7.668713236369175,-8818.980078581239,-8825.371832755985,7.805500151153634,-8817.566332604832,-8826.478952435436,8.02266959563449,-8818.456282839801,-133095.12877993856,8.850300313493454,-133086.27847962506
0.043,-8827.13058081049,7.869096605983824,-8819.261484204506,-8826.657362846317,7.677285639600517,-8818.980077206717,-8825.385422913017,7.819092358565095,-8817.566330554453,-8826.489636091175,8.033364064211149,-8818.456272026964,-133095.14634631935,8.867866640466856,-133086.27847967888
0.0435,-8827.135985998097,7.874506571321993,-8819.261479426774,-8826.66599717516,7.685919523040622,-8818.980077652119,-8825.399121848526,7.832790480718373,-8817.566331367807,-8826.500440148297,8.044149916244024,-8818.456290232052,-133095.16408091603,8.885601182983027,-133086.27847973304
0.044,-8827.141459850254,7.879974877180477,-8819.261484973074,-8826.674696115437,7.694614487762672,-8818.980081627675,-8825.412911621514,7.846593964681512,-8817.566317656832,-8826.511296061459,8.05502676015497,-8818.456269301303,-133095.18198285822,8.903503070739447,-133086.2784797875
0.0445,-8827.146985439244,7.885501254689084,-8819.261484184555,-8826.683448223057,7.703370138738364,-8818.980078084318,-8825.426825670185,7.860502236274208,-8817.566323433912,-8826.522275237026,8.065994208339845,-8818.456281028686,-133095.2000512706,8.921571428349289,-133086.27847984224
0.045,-8827.152566579762,7.891085428231218,-8819.26148115153,-8826.692267445507,7.712186099747202,-8818.98008134576,-8825.440836934033,7.874514711267475,-8817.566322222765,-8826.533327011051,8.077051879659514,-8818.456275131392,-133095.2182852727,8.93980537542126,-133086.2784798973
0.0455,-8827.158214239063,7.896727116417358,-8819.261487122647,-8826.705508140507,7.721061945392223,-8818.984446195114,-8825.45496061224,7.888630819526757,-8817.566329792713,-8826.539170650425,8.088198998024033,-8818.4509716524,-133095.23668397928,8.95820402663943,-133086.27847995266
0.046,-8827.163920072499,7.902426052421423,-8819.261494020076,-8826.714447049084,7.729997299261532,-8818.984449749822,-8825.46917041916,7.902849975292144,-8817.566320443868,-8826.550404814663,8.099435140598843,-8818.450969674064,-133095.2552465001,8.976766491843062,-133086.27848000827
0.0465,-8827.169672635975,7.908181952968466,-8819.261490683006,-8826.71820452589,7.7389921112404005,-8818.97921241465,-8825.483491686764,7.91717159634583,-8817.566320090418,-8826.56172469038,8.110760304248954,-8818.450964386131,-133095.27397194027,8.995491876106342,-133086.27848006418
0.047,-8827.17547908205,7.913994534694926,-8819.261484547356,-8826.727242378178,7.748045973079783,-8818.979196405098,-8825.497916547241,7.931595066651705,-8817.56632148059,-8826.573932556095,8.122174048146135,-8818.451758507948,-133095.2928594002,9.01437927981808,-133086.27848012038
0.0475,-8827.181347516957,7.9198635216460325,-8819.261483995311,-8826.736368564549,7.75715817379935,-8818.97921039075,-8825.512444225731,7.9461197846575455,-8817.566324441073,-8826.585424570027,8.133675930918567,-8818.451748639109,-133095.31190797559,9.033427798761275,-133086.2784801768
0.048,-8827.187276033344,7.92578863238382,-8819.261487400961,-8826.745532182636,7.766328331077778,-8818.979203851559,-8825.527072338047,7.960745182610128,-8817.566327155437,-8826.597021011296,8.145265574246267,-8818.451755437049,-133095.33111675773,9.05263652419265,-133086.27848023354
0.0485,-8827.193247703495,7.931769587831303,-8819.261478115664,-8826.75475874323,7.7755560343293695,-8818.9792027089,-8825.54180088419,7.975470634228104,-8817.566330249962,-8826.608705071392,8.156942551304644,-8818.451762520088,-133095.35048483344,9.07200454292205,-133086.27848029052
0.049,-8827.199285415592,7.937806107983741,-8819.261479307608,-8826.7629301824,7.784841459200291,-8818.9780887232,-8825.556627658787,7.990295520953528,-8817.566332137834,-8826.620451597157,8.168706453218881,-8818.451745143937,-133095.37001128515,9.09153093739172,-133086.27848034777
0.0495,-8827.20538678545,7.9438978883093325,-8819.26148889714,-8826.772277263584,7.7941842091739195,-8818.978093054411,-8825.571539250794,8.005219250286444,-8817.566320000507,-8826.63255229372,8.180556534365685,-8818.451995759355,-133095.38969519103,9.111214785755475,-133086.27848040528
0.05,-8827.211524394932,7.950044652509689,-8819.261479742423,-8826.781680611553,7.803583297649776,-8818.978097313904,-8825.586560992184,8.020241206635966,-8817.566319785548,-8826.639573959294,8.192493126727836,-8818.447080832566,-133095.40953562496,9.131055161957788,-133086.278480463
0.0505,-8827.217730192127,7.956246114777688,-8819.26148407735,-8826.791123775425,7.813038321217262,-8818.978085454208,-8825.60168495554,8.035360740015507,-8817.566324215524,-8826.651602653446,8.204516106041787,-8818.447086547405,-133095.42953165682,9.151051135812711,-133086.278480521
