r_Angstrom,mlp_RDF,mha_RDF,conv_RDF,comb_RDF,MACE_RDF,GFN2-XtB_RDF
0.08,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0,0.0,0.0
1.04,0.0,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.002523926035237416,0.0,0.0
1.3599999999999999,0.0,0.0,0.0,0.012842169891121968,0.0,0.0
1.52,0.0,0.0,0.0,0.012696620785872066,0.0,0.0
1.6800000000000002,0.0,0.0,0.002233661832594807,0.023968909665151875,0.0,0.0
1.8399999999999999,0.0,0.0,0.057302233411268375,0.0343097122549968,0.0,0.0
2.0,0.04019876907892624,0.0,0.0879764916041057,0.022858123593899438,0.0,0.0
2.16,0.2201598686544668,0.05562480742863724,0.24859610198480506,0.09232678317127238,0.007381983789595059,0.0
2.3200000000000003,0.6914376037835668,0.22676882110662397,0.3912573340317368,0.21960343109152367,0.10031546021131534,0.07232988034104129
2.48,1.1441146916503147,0.7730238186889055,1.1112217393652886,0.8933946704561738,0.3875767890946807,0.6340767312786386
2.64,1.410778268762257,1.700500675422891,1.6200299637218558,1.704712161632192,1.0683948816501412,1.385091683452811
2.8,1.4292069437379538,1.7658931840724703,1.4219354368471513,1.8179695504435105,1.9344683736086141,1.9630902624340463
2.96,1.4226423257185485,1.6429054573084827,1.3173424276121324,1.5469643195386291,1.8665466029843927,1.8687340055482697
3.12,1.1932750673591292,1.5250892746861666,1.1843279965741884,1.4293132495428778,1.750485676298473,1.6417999501340488
3.2800000000000002,1.0512837126306103,1.4574415227121134,1.0687378320577952,1.1079306738723256,1.485449295746442,1.204807801855803
3.44,1.1221753650585722,1.0409465572324654,1.1738403311670549,0.9592052001393838,1.1203916936095835,1.229667197323158
3.6,0.8983902814503513,0.9986939932238713,1.1533803632097972,1.1580417339136984,1.1424102297459588,1.0417508310512535
3.76,1.0259353656937187,0.8763062055203589,1.1179369630889853,0.9196555871693782,0.9101997244264649,0.9210628117518127
3.92,1.003573251921063,0.7161162480275626,1.0004785813309818,0.8127773365607986,0.856797446791217,0.8379767970800763
4.08,0.9787690296424482,0.8520521600504605,1.0117527282721746,0.851789806283178,0.9834330966161726,0.7886791500451688
4.24,1.0126106249527889,1.0404260387609716,0.8721974443315893,0.9348867199934054,0.9551308348465133,0.8999048895272024
4.4,1.0072993626823146,0.8255907037767887,0.910673818840564,1.069297620190132,0.7926427719013226,0.7757489673489522
4.5600000000000005,0.9232499342620509,0.8242657047416133,0.8842536717302586,0.9158170739290977,0.8184897771673466,0.9844981036305254
4.72,1.0485248425425753,0.994113727368919,1.0295201596005976,1.0142401766965634,0.9421966364896662,1.0140768126598052
4.88,0.9967658829000271,1.00383673418317,1.056990381364976,0.9956451427831051,0.8890016263844348,1.0636740678804504
5.04,1.0187373722363309,1.1103026166786054,0.9597825747506535,0.9757630310360611,1.0854674783988423,1.0514146830267572
5.2,0.9854873226584893,1.1106372583663708,0.9564678279944546,1.1899518264972944,1.027329593412481,1.1019601243712813
5.36,0.8978991929755167,1.0586014940773154,0.9489357709426239,0.9943560450295243,1.0269306075347637,1.061667235894634
5.5200000000000005,0.9275977350746327,1.0429751040814337,1.063846391552402,1.0158129668958327,1.0740710131139135,1.0589889000005945
5.68,1.1287477405230548,1.0703560675326267,1.0645048669161243,1.0711908789316484,1.0350232391311702,1.0450184134490792
5.84,1.08867304707085,1.0595609462983342,1.0082234782693758,1.029559546259793,1.0748853512504362,1.016298315604864
6.0,1.136701188653414,1.0330191366693853,0.9620667241857375,0.955933286799952,1.0142279021292067,1.0128327136249773
6.16,1.0209931422057548,1.0123286276650245,1.101294967742616,0.9075231713384464,1.0818749451151695,1.0347988151898218
6.32,1.0472139540449124,0.9958331248400379,1.0285217323065152,1.054485513817701,0.9957359277169296,0.9353825890848065
6.48,0.8395767553407849,0.8567968275465172,0.89825790743784,0.8462683136005901,0.8819624028673118,0.8673195629447148
6.640000000000001,0.7583674311375552,0.7371572040705623,0.7923346136641363,0.8068856879674912,0.8306329972031082,0.7507396743355659
6.8,0.6330066113008201,0.7104860328033917,0.726868745565394,0.6798878271290646,0.71365552623973,0.6645441204935371
6.96,0.6388510126742591,0.6906593553439255,0.6701223539956057,0.6631998818338082,0.6969556994158405,0.6535725363236928
7.12,0.7114897788007539,0.6444987803675847,0.6253530248851117,0.6862173815638865,0.611553721621114,0.7177265086491723
7.28,0.6331560160928823,0.5876516330514725,0.5981315136009994,0.6307523737650164,0.5725476024997362,0.5969869220162973
7.44,0.4830521301172047,0.5261207276924521,0.5465437909090461,0.5429054259230478,0.575685779375227,0.5850490897488348
7.6,0.4445697781676368,0.4399907422199269,0.4732706713738513,0.47443853558804167,0.4363023077592846,0.4630749647269727
7.76,0.4104093525476252,0.419596629293154,0.4228403827055043,0.4698284678500574,0.41569606618364857,0.3687724531566069
7.92,0.39098950450699677,0.3919914068920516,0.3420819683900702,0.30899211124032694,0.32564535358655816,0.3659612866254394
