Model,Energy MAE (eV),Energy RMSE (eV),Energy Max Error (eV),Force MAE (eV/Å),Force RMSE (eV/Å),Force Max Error (eV/Å),Force R²
mlp,1.326081381088261,1.6743587376264912,3.502373852988967,0.7302785648402478,0.9891084765991021,11.076669994915392,0.6577509903154375
mha,0.9788530333007657,1.2191490332804191,2.9688176300733176,0.67797970418057,0.9689461046919436,9.875879996498064,0.6715618517397861
conv,0.8036610640527215,0.9408341638036585,1.9688360029358591,0.5011861185252106,0.6915276901492213,5.816956695962501,0.8327086436673696
comb,1.1291226303006625,1.414937882447917,2.815741662085202,0.6964451314725351,0.9844309284314312,6.7596512798776605,0.6609803649019239
MACE,124269.30585681996,124269.30585799327,124270.09827290817,0.26172376351978566,0.34042277546036975,1.9589405443556798,0.9594592695866028
