Frame,Hydrogen,Donor,Acceptor(s),Donor-Hydrogen Distance,Hydrogen-Acceptor(s) Distance(s),Donor-Acceptor(s) Distance(s),Angle(A-H-D)
0,107,105,[np.int64(483)],0.9685650182627332,[np.float64(2.3832371794206506)],[np.float64(3.1578992702794246)],[np.float64(136.60101565330743)]
0,109,108,,0.968565018262667,,,
0,110,108,[np.int64(33)],0.9685650182627598,[np.float64(2.3179849994776327)],[np.float64(3.0371000887950435)],[np.float64(130.4434354818489)]
0,112,111,,0.9685650182626775,,,
0,113,111,,0.9685650182627631,,,
0,115,114,[np.int64(87)],0.9685650182625077,[np.float64(2.3650641819950713)],[np.float64(3.2441741038540903)],[np.float64(150.6409848050508)]
0,116,114,[np.int64(294)],0.9685650182625865,[np.float64(2.1901797880105023)],[np.float64(3.0839448079830527)],[np.float64(152.86554018488735)]
0,118,117,,0.9685650182627137,,,
0,119,117,,0.9685650182627119,,,
0,121,120,,0.9685650182627108,,,
0,122,120,[np.int64(117)],0.968565018262713,[np.float64(2.11562625148106)],[np.float64(3.0001439220326085)],[np.float64(151.07121243994703)]
0,124,123,,0.968565018262511,,,
0,125,123,,0.968565018262517,,,
0,127,126,,0.9685650182627187,,,
0,128,126,,0.9685650182627348,,,
0,130,129,[np.int64(132)],0.9685650182626658,[np.float64(1.9789223749696367)],[np.float64(2.8134067577758746)],[np.float64(142.98739344297744)]
0,131,129,,0.9685650182626615,,,
0,133,132,,0.9685650182625636,,,
0,134,132,,0.9685650182625738,,,
0,136,135,[np.int64(138)],0.9685650182625586,[np.float64(2.0174341289977122)],[np.float64(2.945316478771043)],[np.float64(159.76052894798926)]
0,137,135,[np.int64(405)],0.9685650182626486,[np.float64(2.218956581283145)],[np.float64(3.1718785148908983)],[np.float64(167.6492228664889)]
0,139,138,,0.968565018262713,,,
0,140,138,[np.int64(111)],0.9685650182627198,[np.float64(2.235101636344742)],[np.float64(2.935463240615841)],[np.float64(128.29494954885163)]
0,142,141,,0.9685650182627451,,,
0,143,141,,0.9685650182626555,,,
0,145,144,,0.9685650182625781,,,
0,146,144,[np.int64(414)],0.9685650182625769,[np.float64(2.207782932198468)],[np.float64(2.8628161453640995)],[np.float64(123.86690456838464)]
0,148,147,,0.9685650182627261,,,
0,149,147,[np.int64(120)],0.9685650182627334,[np.float64(2.0750754162928855)],[np.float64(3.0101628051086284)],[np.float64(161.7284827339466)]
0,151,150,,0.9685650182627485,,,
0,152,150,[np.int64(147)],0.9685650182626737,[np.float64(1.888455411411965)],[np.float64(2.730754962708641)],[np.float64(143.81675205217408)]
0,154,153,,0.9685650182625751,,,
0,155,153,[np.int64(156)],0.968565018262587,[np.float64(2.330033224304509)],[np.float64(3.0134321151533716)],[np.float64(126.95648373749748)]
0,157,156,[np.int64(153)],0.968565018262734,[np.float64(2.2935878426386953)],[np.float64(3.0134321151533716)],[np.float64(130.44281111392647)]
0,158,156,[np.int64(147)],0.9685650182627312,[np.float64(2.3178512225641734)],[np.float64(2.983721557997703)],[np.float64(125.2605003740242)]
0,160,159,,0.9685650182627233,,,
0,161,159,,0.9685650182627276,,,
0,163,162,,0.9685650182627221,,,
0,164,162,,0.9685650182627328,,,
0,166,165,,0.9685650182625942,,,
0,167,165,[np.int64(543)],0.9685650182625865,[np.float64(2.3395213248642994)],[np.float64(3.266033847439045)],[np.float64(159.88396910995337)]
0,169,168,[np.int64(24)],0.9685650182627408,[np.float64(2.199183491010512)],[np.float64(2.8635000493691636)],[np.float64(124.69862767071237)]
0,170,168,,0.9685650182627517,,,
0,172,171,[np.int64(549)],0.9685650182627336,[np.float64(2.128948929614761)],[np.float64(2.972750362469233)],[np.float64(144.72188450018214)]
0,173,171,[np.int64(180)],0.9685650182627461,[np.float64(2.243012156505904)],[np.float64(3.1416145380979033)],[np.float64(153.85761252014711)]
0,175,174,,0.9685650182627594,,,
0,176,174,[np.int64(171)],0.9685650182627424,[np.float64(2.2607892623388053)],[np.float64(3.1257063560958245)],[np.float64(148.16767757830203)]
0,178,177,[np.int64(204)],0.968565018262734,[np.float64(2.0601229772766896)],[np.float64(2.923990036325367)],[np.float64(147.54675451844545)]
0,179,177,[np.int64(252)],0.9685650182627403,[np.float64(2.238852818499431)],[np.float64(2.8553698647231203)],[np.float64(120.52129803456894)]
0,181,180,[np.int64(183)],0.9685650182627616,[np.float64(2.3062339052158722)],[np.float64(2.9951811230305534)],[np.float64(127.41357159999498)]
0,182,180,,0.9685650182626641,,,
0,184,183,[np.int64(3)],0.9685650182627558,[np.float64(2.071902974131172)],[np.float64(3.0014816062910255)],[np.float64(160.27278141016)]
0,185,183,[np.int64(210)],0.9685650182627513,[np.float64(2.3075533995993833)],[np.float64(3.2094231548789187)],[np.float64(154.58623760156544)]
