Frame,Donor,Acceptor,Distance
0,480,477,2.940014052805267
0,480,471,2.889730930016117
0,483,456,2.870343373403676
0,486,342,2.9906538022323157
0,492,348,2.842063466120579
0,492,489,2.908881156260513
0,495,504,3.1256610928718436
0,495,522,2.8521602901853753
0,501,528,2.9651850456259936
0,501,576,3.061063566800909
0,516,513,3.131002378199432
0,516,372,3.0786938256601792
0,519,492,3.205260537875067
0,525,522,3.079210999244024
0,528,519,3.2018201136733424
0,528,603,2.882490541116059
0,531,351,3.14217926337658
0,537,564,2.861481551741191
0,537,534,2.834822344621137
0,540,543,2.8203147814614287
0,540,162,3.220681802061105
0,543,516,2.9016133665898813
0,546,168,2.7528535799902416
0,552,525,3.1068936592505922
0,558,378,2.814100664211651
0,558,561,3.068676901191539
0,561,558,3.068676901191539
0,561,552,2.7763928669885223
0,564,537,2.861481551741191
0,567,594,3.2848719613469872
0,573,429,2.8847671892380116
0,573,600,3.124767634573726
0,576,585,3.181561936997988
0,576,603,2.984407788527702
0,582,609,2.994085691214537
0,585,315,2.720252289404159
0,588,408,3.1003265876118773
0,588,615,3.2384019417919587
0,600,573,3.124767634573726
0,603,594,3.167624459831518
0,603,606,3.0405232318167448
0,606,603,3.0405232318167448
0,612,603,2.9743507353955243
0,615,618,2.8102448697546305
0,618,645,2.835583068288675
0,621,624,3.0420979658443255
0,621,243,3.2343903460297865
0,624,597,2.8797269195004853
0,627,540,3.117462679550578
0,633,606,2.9360014720264904
0,639,459,2.828789876873937
0,639,642,3.0096003501167274
0,642,639,3.0096003501167274
0,645,618,2.835583068288675
50,3,183,3.038721593710341
50,3,30,2.8790691676345372
50,6,186,3.255458843948112
50,6,3,3.1278190164310273
50,9,387,2.8073702505632863
50,9,18,2.655595502683585
50,12,39,2.797320447316754
50,15,42,3.0201272736350337
50,15,6,2.8065986403872483
50,18,162,2.7101539297354273
50,18,21,2.785408064106688
50,21,12,3.0597834152874044
50,24,402,2.7149497831416416
50,27,36,2.926416223841669
50,27,54,2.8662334633898214
50,30,27,2.7598337114112823
50,30,57,2.995203697625732
50,33,6,2.7258191215495122
50,33,213,2.9002185627075607
50,36,123,2.848098755100816
50,39,30,2.976492718551926
50,39,66,2.9647756806789696
50,42,39,3.2670261689091045
50,42,33,2.7763085679377104
50,45,36,3.2874402681324213
50,45,18,3.1060490753550343
50,48,75,2.966761376620046
50,51,42,2.835135076557301
50,54,57,2.639656627882502
50,57,237,3.0163059949064057
50,57,60,2.7603274606991337
50,60,240,3.158038575243347
50,60,33,2.8461682612949524
50,63,150,2.8379758210861863
50,66,63,3.1330521790044306
50,66,336,2.9458148830716415
50,69,144,3.0489655296367877
50,69,339,3.2878570698284433
50,72,342,2.7673604904729725
50,75,72,2.9180254182425864
50,78,348,2.805213157731897
50,78,69,3.314072724166346
50,84,264,2.7935467284637823
50,87,267,3.1465951064229127
50,90,15,2.8573518985955455
50,93,96,2.7836628818168334
50,99,102,2.7091606085470565
50,99,126,3.279762448880723
50,102,246,2.8789116534287564
50,105,102,2.9382073057392635
50,108,135,3.1277574948269042
50,108,117,2.943010704969036
50,111,84,2.978028611732318
50,111,120,3.129092013662116
50,114,27,2.876149345204444
50,117,42,2.9896091535421574
50,117,144,2.747151996222976
50,120,147,2.8885734581965257
50,120,117,2.856977590997385
50,123,132,2.7022052924880438
50,123,150,2.860107439682572
50,126,153,2.7615712558094545
50,126,117,3.237244403519139
50,129,132,3.1079914250405607
50,132,105,2.92167433417692
50,135,138,2.7428457624129474
50,135,315,2.9379176220788756
50,138,141,2.7817116924293734
50,138,111,3.2090902497072324
50,141,321,2.7109855265619007
50,144,135,2.834396228483918
50,144,414,3.1700995247187134
50,147,417,3.039594138254831
50,147,144,2.9008108237140684
50,153,78,2.9430750147933313
50,156,147,2.9597898486995713
50,156,159,2.7887992009767264
50,159,303,2.991858980877864
50,159,132,2.994292526275937
50,162,189,2.6886170111189225
50,165,174,2.958967304505246
50,168,24,2.827024548722987
50,168,165,3.0956216210975214
50,171,549,3.247561934581224
50,171,180,2.8212404132956057
50,177,252,2.684415635807089
50,180,183,2.973811590834285
50,180,207,2.5421395787435506
50,183,186,2.9039522652039724
50,186,177,2.829390772965094
50,186,564,2.7007803997926776
50,189,216,3.0847875000186074
50,189,192,3.0830569631655322
50,192,201,3.0442406248606924
50,192,48,2.619145509723875
50,195,168,2.7799860715564746
50,195,51,3.033920073097243
50,198,171,3.001281483859846
50,201,198,3.0974553054925176
50,204,270,3.165392709371285
50,204,201,3.2010623260567876
50,207,234,2.5385793491507767
50,207,198,2.7619417529827994
50,210,30,2.954242122798283
50,210,207,2.6868879597148534
50,213,288,2.8223730433008254
50,213,315,3.087540494579447
50,219,75,2.936110871857935
50,219,222,3.0633717877260493
50,222,492,2.9120055838283756
50,225,495,2.949851421050106
50,225,312,2.9438687721612014
50,228,231,2.7137292289780985
50,231,306,3.0591191551172257
50,231,222,2.993495124997816
50,234,54,3.2102195523678043
50,234,237,2.931577684880214
50,237,240,2.843421491503082
50,237,210,3.2366745477203795
50,240,231,3.1303571981836287
50,240,315,3.0970605299782084
50,240,213,3.0208128691053613
50,243,168,3.168967747345863
50,243,99,2.654828489277646
50,246,249,3.098202252992968
50,249,162,3.027895670491931
50,249,105,2.685123250681696
50,252,255,2.8111947130617136
50,252,261,2.6010173141182804
50,255,258,3.1976298237650225
50,255,264,2.9850358384817857
50,258,285,2.943733682878662
50,258,171,2.837481878079275
50,261,264,2.780979643715046
50,261,288,2.8843533048838723
50,264,291,2.7192413410786886
50,267,180,2.7091898927358637
50,267,258,2.698180598096159
50,270,195,2.708905399023593
50,270,243,2.792537630970708
50,273,276,2.870183571088747
50,276,249,2.782381665826766
50,276,285,3.0109240159085258
50,279,204,2.7963923196291898
50,279,270,2.8957442165398644
50,282,279,3.0294394631927295
50,285,198,2.7817586538153676
50,288,108,3.1587019222091577
50,288,318,3.036245695890908
50,291,288,2.9128217107263072
50,291,282,2.743970131383289
50,297,300,2.9253762627568842
50,297,567,2.69867390339133
50,300,156,2.873638940690314
50,300,273,2.9564171872577782
50,309,579,2.8916986998649667
50,309,306,3.1815790637793318
50,312,309,3.189121834004732
50,315,318,3.0831187657743553
50,315,306,2.639820562649633
50,318,309,2.696907564463496
50,321,234,2.848997267288348
50,321,294,3.1776184709717987
50,324,504,2.6641609884648854
50,324,351,2.691485510509795
50,324,327,2.707409811872686
50,327,507,2.9328592549846717
50,333,324,3.0246995471541007
