O index,H index,distance
0,1,0.9685650182627217
0,2,0.9685650182627303
3,4,0.9685650182625721
3,5,0.9685650182625685
6,7,0.968565018262742
6,8,0.9685650182627425
9,10,0.968565018262726
9,11,0.9685650182627417
12,13,0.9685650182627628
12,14,0.9685650182627461
15,16,0.9685650182627188
15,17,0.968565018262727
18,19,0.9685650182627434
18,20,0.9685650182626436
21,22,0.9685650182626762
21,23,0.968565018262772
24,25,0.9685650182627208
24,26,0.9685650182627268
27,28,0.9685650182626655
27,29,0.9685650182627503
30,31,0.9685650182627672
30,32,0.9685650182627478
33,34,0.9685650182625954
33,35,0.9685650182625739
36,37,0.9685650182626451
36,38,0.9685650182627397
39,40,0.9685650182627311
39,41,0.9685650182627381
42,43,0.9685650182625994
42,44,0.9685650182625991
45,46,0.9685650182627193
45,47,0.9685650182627327
48,49,0.9685650182627453
48,50,0.9685650182627291
51,52,0.9685650182625767
51,53,0.9685650182625732
54,55,0.9685650182624909
54,56,0.968565018262677
57,58,0.9685650182627248
57,59,0.96856501826273
60,61,0.96856501826276
60,62,0.9685650182626706
63,64,0.9685650182625131
63,65,0.9685650182625992
66,67,0.9685650182626545
66,68,0.9685650182627555
69,70,0.96856501826274
69,71,0.9685650182626598
72,73,0.9685650182625803
72,74,0.9685650182624927
75,76,0.9685650182627292
75,77,0.9685650182627353
78,79,0.9685650182627396
78,80,0.9685650182627339
81,82,0.9685650182627249
81,83,0.9685650182627313
84,85,0.968565018262597
84,86,0.9685650182625968
87,88,0.9685650182627249
87,89,0.96856501826273
90,91,0.9685650182627239
90,92,0.9685650182627422
93,94,0.9685650182627548
93,95,0.9685650182627449
96,97,0.968565018262723
96,98,0.9685650182627321
99,100,0.9685650182626737
99,101,0.9685650182626795
102,103,0.9685650182627672
102,104,0.9685650182627663
105,106,0.9685650182627228
105,107,0.9685650182627332
108,109,0.968565018262667
108,110,0.9685650182627598
111,112,0.9685650182626775
111,113,0.9685650182627631
114,115,0.9685650182625077
114,116,0.9685650182625865
117,118,0.9685650182627137
117,119,0.9685650182627119
120,121,0.9685650182627108
120,122,0.968565018262713
123,124,0.968565018262511
123,125,0.968565018262517
126,127,0.9685650182627187
126,128,0.9685650182627348
129,130,0.9685650182626658
129,131,0.9685650182626615
132,133,0.9685650182625636
132,134,0.9685650182625738
135,136,0.9685650182625586
135,137,0.9685650182626486
138,139,0.968565018262713
138,140,0.9685650182627198
141,142,0.9685650182627451
141,143,0.9685650182626555
144,145,0.9685650182625781
144,146,0.9685650182625769
147,148,0.9685650182627261
147,149,0.9685650182627334
150,151,0.9685650182627485
150,152,0.9685650182626737
153,154,0.9685650182625751
153,155,0.968565018262587
156,157,0.968565018262734
156,158,0.9685650182627312
159,160,0.9685650182627233
159,161,0.9685650182627276
162,163,0.9685650182627221
162,164,0.9685650182627328
165,166,0.9685650182625942
165,167,0.9685650182625865
168,169,0.9685650182627408
168,170,0.9685650182627517
171,172,0.9685650182627336
171,173,0.9685650182627461
174,175,0.9685650182627594
174,176,0.9685650182627424
177,178,0.968565018262734
177,179,0.9685650182627403
180,181,0.9685650182627616
180,182,0.9685650182626641
183,184,0.9685650182627558
183,185,0.9685650182627513
186,187,0.9685650182627086
186,188,0.9685650182627125
189,190,0.9685650182627596
189,191,0.9685650182627553
192,193,0.9685650182626796
192,194,0.9685650182627649
195,196,0.9685650182625765
195,197,0.9685650182625651
198,199,0.9685650182627114
198,200,0.9685650182627055
201,202,0.9685650182627488
201,203,0.9685650182626484
204,205,0.9685650182625144
204,206,0.9685650182625949
207,208,0.9685650182627188
207,209,0.9685650182627179
210,211,0.9685650182627287
210,212,0.9685650182627247
213,214,0.9685650182625719
213,215,0.9685650182625786
216,217,0.9685650182625545
216,218,0.9685650182626452
219,220,0.9685650182627287
219,221,0.9685650182627276
222,223,0.9685650182627404
222,224,0.968565018262647
225,226,0.9685650182625775
225,227,0.9685650182625738
228,229,0.9685650182627346
228,230,0.9685650182627376
231,232,0.9685650182627629
231,233,0.9685650182625857
234,235,0.9685650182624266
234,236,0.9685650182624154
237,238,0.9685650182627408
237,239,0.9685650182627317
240,241,0.9685650182626488
240,242,0.9685650182627502
243,244,0.96856501826272
243,245,0.9685650182627336
246,247,0.9685650182625056
246,248,0.9685650182625021
249,250,0.9685650182627314
249,251,0.9685650182627358
252,253,0.9685650182627317
252,254,0.9685650182627481
255,256,0.9685650182626702
255,257,0.968565018262762
258,259,0.9685650182627453
258,260,0.9685650182626525
261,262,0.9685650182627396
261,263,0.9685650182626453
264,265,0.968565018262758
264,266,0.9685650182627472
267,268,0.9685650182627171
267,269,0.9685650182627136
270,271,0.968565018262667
270,272,0.9685650182627469
273,274,0.9685650182626792
273,275,0.9685650182627568
276,277,0.9685650182625831
276,278,0.9685650182625719
279,280,0.9685650182627262
279,281,0.968565018262736
282,283,0.9685650182627182
282,284,0.9685650182627257
285,286,0.9685650182625936
